scene,lap2mean_mean,lap2mean_std,lap2mean_max,lap2mean_min,lap2mean_median,lap2std_mean,lap2std_std,lap2std_max,lap2std_min,lap2std_median,bitrate,ssim
hevc_83_7_4,24.61301116,2.967583215,29.9770532,20.2028025,24.43696191,22.66128437,2.477274011,27.2761898,18.88754654,22.43509483,302.53,0.9805771
hevc_83_12_6,17.27189025,1.812151136,21.38315574,12.8263014,17.54555664,16.33551206,1.834153329,20.36790085,11.85541821,16.66246319,244.34,0.9748964
hevc_83_19_3,21.07876108,1.426635267,23.31526196,17.57766319,21.30338377,18.7772281,1.246077543,20.67109299,15.67038918,18.96039963,444.85,0.9752083
hevc_83_23_6,12.18434093,0.855846939,14.26316252,9.785715662,12.24623143,10.98917792,0.901370628,13.11881924,8.753708839,11.05123806,293.64,0.9632754
hevc_83_30_5,13.37194914,2.229467517,19.04266226,8.058464046,13.97235703,13.08835713,2.112477219,18.54598618,7.89759016,13.66640282,213.07,0.9771516
hevc_83_36_8,13.14054014,0.847709448,16.32082111,11.86925617,12.92871444,12.19234815,0.823829873,15.30867386,10.92945576,11.99240017,178.01,0.9811014
hevc_83_45_4,6.888727873,1.14475528,8.463184287,5.113477267,6.811091144,6.647100002,1.040446083,8.022940636,4.999443531,6.556538582,69.26,0.9917438
hevc_83_50_5,4.403290025,0.565037113,5.991236008,3.857152013,4.244289836,4.017444456,0.499631061,5.476577282,3.505559683,3.820930719,53.08,0.9911201
hevc_83_56_7,7.936544761,4.403167404,21.53649148,2.844614924,5.722140518,7.064971677,3.658004476,18.53411102,2.635792494,5.286138296,150.07,0.9797147
hevc_83_64_5,9.51773249,2.440714486,13.64449938,5.312415807,10.12410139,8.661958041,2.221482024,12.50010681,4.907802105,9.175831795,176.74,0.9780091
hevc_83_70_8,17.19198851,1.135868231,20.19057458,14.37012007,17.20094822,15.65489014,0.983415092,18.32362175,13.31294632,15.6630106,247.42,0.974426
hevc_83_79_7,21.47478344,1.356277322,25.28343842,19.04974999,21.54852709,19.33161139,1.275225825,23.02503586,17.04279137,19.35056686,394.69,0.9710564
hevc_83_93_17,11.55937961,1.287106865,15.14535741,8.210176935,11.11644454,10.60899828,1.01202495,13.51297283,7.397476673,10.36928129,208.9,0.9826273
hevc_83_112_4,11.44247287,1.854440472,13.59087894,6.943990884,11.68782378,11.52977828,1.921598793,13.78545094,6.932175636,11.6677866,49.75,0.9991937
hevc_91_16_7,24.40232054,3.253469767,29.44223004,16.91755882,25.24620182,22.09813309,2.934877174,26.73659706,15.20571804,22.82068253,730.98,0.9733258
hevc_91_24_8,32.11447509,4.177466599,39.26273368,18.54649655,32.76036595,27.08436149,3.293978413,32.71530533,16.21694946,27.77140236,943.56,0.9729299
hevc_91_34_8,28.06111292,2.705628965,32.75269475,20.97793292,28.75117309,23.75514113,2.060261899,27.23129654,18.29169083,24.2620573,993.6,0.9705003
hevc_91_47_5,26.62995083,4.423496955,33.99510068,14.06936193,27.36590012,23.07668623,3.67913469,29.78029251,12.14931965,23.38684273,1081.98,0.9736766
hevc_91_53_8,28.99486395,6.080338072,48.26687943,18.90582305,26.92706054,25.06532895,5.276305371,42.11864853,16.59993553,23.37396049,1084.24,0.9711432
hevc_91_62_6,30.4299786,6.158204166,34.48727934,2.452229622,32.14218594,26.81200019,5.646431516,30.58509827,1.412541509,28.30540848,720.03,0.9753483
hevc_91_69_6,51.79114719,2.034120326,56.58312167,47.9335452,51.39394197,41.90702695,1.744900329,46.13463593,38.49717331,41.63090706,899.69,0.9726895
hevc_91_76_11,31.92157203,6.958226032,42.7275103,2.081176353,31.17033748,26.2935176,5.78042718,35.16769028,1.276276112,25.96535492,790.21,0.9815386
hevc_91_89_19,36.5613071,9.463618352,47.39686583,4.816523864,39.71338507,35.04199619,9.171014987,44.9794426,4.012291431,38.20907593,379.2,0.9871041
hevc_92_16_2,6.058664972,0.549977993,7.337278461,5.08255347,5.991140576,5.319519291,0.554145635,6.599715233,4.340031624,5.245982885,169.02,0.9819876
hevc_92_24_3,9.349733485,0.395462738,10.19346547,8.579640406,9.312503277,8.796431125,0.349495187,9.546339989,8.124331474,8.75955677,166.59,0.981519
hevc_92_30_3,9.336599386,0.367336426,10.10702501,8.584153022,9.323913135,8.768285093,0.325467769,9.456014633,8.094117165,8.757241249,153.95,0.983776
hevc_92_34_2,11.8870497,0.497449001,12.92388524,10.68750964,11.85174017,11.11230444,0.472942243,12.07068062,9.964947701,11.11671638,190.78,0.9747448
hevc_92_50_2,16.11558951,0.329148596,16.88573606,15.54249556,16.02478059,14.21674768,0.303008231,14.93641186,13.69859982,14.12166929,165.04,0.9701666
hevc_92_60_2,16.69798547,2.817887478,19.71890554,13.13169646,18.78520173,15.09800903,2.411516536,17.66576576,12.05217743,16.89970779,300.24,0.9764507
hevc_92_81_4,11.73222907,0.411325684,12.75747581,11.01629472,11.72754032,10.18410484,0.322441954,11.03632355,9.591237068,10.18845654,146.24,0.9758412
hevc_92_87_19,11.91298225,0.860903737,13.91931554,10.03234135,11.883399,10.24692404,0.510430269,11.625844,9.098330498,10.15030527,178.73,0.9732753
hevc_92_108_3,10.92863005,0.510011671,11.87237391,9.642804609,10.86373353,9.437635664,0.535397916,10.44557381,8.022666931,9.413179398,192.03,0.986335
hevc_92_112_7,17.36358359,3.787064812,20.99851621,9.060666655,19.44908342,14.50883011,3.003450006,17.35711479,7.584380627,16.08754349,298.87,0.9797805
hevc_92_128_3,11.55754341,0.27250994,12.43563998,11.22982097,11.51348266,11.00769398,0.264068216,11.84805393,10.68422794,10.98406601,100.81,0.9890205
hevc_92_167_2,15.41323291,0.23404827,15.89336432,15.0721673,15.32466697,14.0424878,0.208609857,14.47053719,13.75130272,13.96811724,150.13,0.9830333
hevc_92_173_3,31.34280411,0.192157017,31.9442263,31.07418413,31.30328951,28.04883925,0.114947458,28.44196701,27.86641693,28.03399181,211.97,0.9800804
hevc_92_212_6,30.09012644,0.638617863,32.08529739,28.3970512,29.98473046,27.14729391,0.60538983,29.00908279,25.51746559,27.05879688,255.26,0.9727148
hevc_93_0_19,45.55893998,7.95847759,69.69321025,0,44.96233192,38.22345621,5.717316455,53.97862625,0,37.91820526,1557.6,0.9042717
hevc_93_28_6,50.01680249,4.528923811,59.83753843,40.70101962,49.79891204,43.76881952,3.765957269,51.87075424,35.52002335,43.7109375,1509.16,0.9544189
hevc_93_52_11,49.96871969,4.326837155,62.02753256,41.03704798,50.20749913,42.24263052,3.842691545,53.36293793,35.02343369,42.30178833,1716.7,0.9294913
hevc_93_116_27,55.95461854,4.953575468,69.09175003,41.14945428,56.34586768,47.37449692,3.792282148,56.58837891,36.37136078,47.53560257,1534.58,0.9479946
hevc_93_161_8,45.93009984,2.144799006,51.84634704,40.220653,45.94289934,38.20626047,1.875540374,42.65260315,33.28976822,38.21410751,913.01,0.9575341
hevc_93_170_11,34.62380525,1.835674125,40.51157091,30.5298446,34.12440807,29.06596052,1.580389074,33.91142273,25.76072693,28.57023621,836.65,0.93322
hevc_93_191_16,45.44162566,2.119886657,50.96717646,40.02111259,45.41077705,38.45081927,1.862097191,43.50030136,33.82963562,38.38246155,1028.11,0.9648249
hevc_93_226_16,52.25102822,4.210656407,67.45486772,44.58090707,51.64021842,42.10286978,3.274434018,53.94529724,36.39182663,41.20169067,1479.34,0.9600681
hevc_93_256_7,49.47463336,4.230052149,58.8250767,40.31182624,48.53472601,41.671857,3.54214202,50.21493912,33.55386353,41.02164078,1764.8,0.9174535
hevc_93_264_8,41.18361905,7.233411323,56.75624191,29.04909175,40.22427665,35.2315207,5.817430937,47.72712326,24.99029732,34.76042938,1520.01,0.9115626
hevc_95_1_5,11.74961352,2.206986629,14.9847477,5.959483038,12.11554479,10.96164652,2.197312244,14.18786526,5.474871635,11.33473253,297.01,0.980048
hevc_95_11_5,25.9653214,2.33686338,30.9154682,20.34186429,26.06391041,21.21627345,1.886308595,25.27874947,16.66784286,21.20897102,449.58,0.9556051
hevc_95_25_4,35.33515448,4.686109507,49.09907325,28.17370241,34.24909674,31.29835761,3.98495865,43.47295761,25.1314373,30.42733002,1045.39,0.9467034
hevc_95_30_18,29.64686634,1.364810537,33.74695443,27.15021015,29.39942938,24.45998078,1.240064579,27.97939873,21.76325989,24.22812939,762.07,0.9680883
hevc_95_49_6,17.99358667,1.664594119,21.62221267,14.72859268,18.02393499,15.24409124,1.59021514,18.88465118,12.26678562,15.25558376,564.5,0.9653081
hevc_95_56_5,28.38764232,1.324755163,31.94714282,25.28421814,28.08398483,25.11001916,1.201768134,28.2686348,22.32738876,24.82155609,340.38,0.972988
hevc_95_62_7,40.02617916,9.894568927,54.30670325,9.101273718,42.85716786,33.97122597,7.966082956,44.86217499,8.1770401,36.08303833,1460.47,0.941625
hevc_95_84_5,10.12568486,1.097094092,12.32271435,6.418290003,10.24592253,8.667763682,1.021188401,10.72767067,5.173524857,8.800363541,316.25,0.9671028
hevc_95_96_5,18.02087362,2.741764866,21.66078638,12.39557025,18.71189352,15.8847254,2.849022428,19.43667221,9.928226471,16.58570004,217.72,0.9794983
hevc_95_155_2,13.39816974,0.735495074,15.07353598,12.08753259,13.41048486,11.73615239,0.777899964,13.52101612,10.47453976,11.74042845,339.56,0.9679395
hevc_95_179_10,25.73063598,1.47123564,30.3233208,22.58448426,25.49976387,20.70775704,1.210988171,24.58709717,18.36586571,20.52105713,587.07,0.9635428
hevc_95_233_3,17.62161131,6.065987209,24.31903632,0,19.63164717,14.95840165,5.320460638,21.18132401,0,16.60035706,625.17,0.9700396
hevc_95_240_4,17.29129657,1.933172029,22.54362633,14.17615099,16.67208609,15.03867619,1.758994401,19.68680382,12.06631565,14.54288244,357.88,0.9786342
hevc_95_266_3,27.81041537,1.196313755,30.75374227,25.07366466,27.51410104,23.28141136,1.085817406,25.91495895,20.90928078,23.01850319,543.8,0.9723797
hevc_95_274_6,27.48010975,0.841508617,30.14429208,25.59535132,27.39293959,23.21243907,0.758713087,25.55310822,21.57398605,23.13828373,432.45,0.9745772
hevc_95_281_4,33.21638291,1.68304322,37.32671552,29.73571126,33.04104218,28.93114744,1.468819915,32.57388687,25.96210098,28.76058483,830.23,0.9633505
hevc_95_292_5,30.14732582,1.614636635,34.54923174,27.29783645,30.01655597,25.30951956,1.363897697,28.97341347,22.94468117,25.1044836,838.4,0.9662623
hevc_95_321_6,26.85047987,1.666843567,30.24892758,21.77759984,26.96950671,22.72126106,1.385994298,26.99200821,19.4317112,22.77350426,792.92,0.963234
hevc_95_331_5,33.98201577,2.135250491,41.70161458,29.94178006,34.11069819,28.67749774,1.725071085,34.97012711,25.5277729,28.6308527,1051.77,0.9611386
hevc_95_359_7,14.4759054,3.126088278,20.85463576,5.779785631,15.35738493,12.58486054,2.856116732,17.92379189,4.697673321,13.46926403,609.45,0.9481917
hevc_95_417_8,25.63586183,8.864592773,41.21964881,6.943901339,24.9888213,22.97136603,7.912135244,36.76253128,6.178200722,22.0403595,1567.12,0.9600639
hevc_97_6_3,6.294679168,2.333795844,8.780587059,3.044293684,7.080179148,5.90526269,2.419793677,8.478480339,2.52651453,6.729751587,54.05,0.9835973
