Unnamed: 0,mean,mean.1,mean.2,mean.3,mean.4,mean.5
hevc_3_6_6,1320.2783203125,1276.240364583333,1136.272884114583,1449.171223958333,791.48583984375,1004.21982421875
hevc_3_20_8,122.1402669270833,492.7944661458333,156.9841471354167,138.4535807291667,87.77037760416667,138.8384765625
hevc_3_65_8,1601.68349609375,2427.6453125,2480.338834635417,2522.602766927083,2301.81044921875,1975.973046875
hevc_5_17_8,1421.1978125,1187.1525,913.8572916666666,1381.219921875,1198.08921875,1508.02875
hevc_5_26_8,186.317109375,179.1891666666667,173.4046354166667,201.81984375,155.0839322916667,182.5406770833333
hevc_5_35_4,1597.368567708333,1737.973072916667,1734.66140625,1979.495677083333,2016.028307291667,1797.004609375
hevc_5_40_2,1424.899557291667,1565.581822916667,1540.70609375,1548.556770833333,1517.05921875,1451.521380208333
hevc_5_47_3,897.7452604166667,1237.4034375,720.4946354166667,1645.576119791667,1727.168255208333,1793.902265625
hevc_5_56_3,1755.229817708333,2013.372005208333,1834.642135416666,1780.208828125,1979.804036458333,1926.11234375
hevc_5_62_3,2613.911796875,2414.922994791667,2153.549114583333,2347.774296875,2361.569270833334,2822.694375
hevc_5_66_6,2141.306666666666,2291.406927083333,2346.177604166667,2464.970729166667,2339.673489583333,2396.652578125
hevc_5_80_4,399.7238802083333,1367.956380208333,1899.389401041667,1664.806302083333,1784.602369791667,1175.893177083333
hevc_5_85_4,2267.445963541667,2399.1765625,2260.324869791667,2269.689427083334,2051.207552083333,1560.592291666667
hevc_5_92_3,1861.579479166667,1187.577604166667,452.1761458333334,889.1128385416666,1557.927213541667,1325.201927083333
hevc_5_96_20,439.78109375,1082.644791666667,752.3800520833333,641.9722395833332,1014.953411458333,792.8614322916667
hevc_5_117_2,1416.190494791666,1339.566979166667,1549.755755208334,1472.660625,1400.356276041667,1420.553697916667
hevc_5_120_6,1164.746979166667,1461.470234375,967.8716927083334,1548.987786458333,872.4836718749999,613.324375
hevc_5_134_3,893.628359375,1116.285052083334,1133.582786458333,970.8245312500001,693.8233854166667,1094.781822916667
hevc_5_139_4,300.058984375,429.2324479166666,428.0334895833333,911.2654427083332,427.2940364583333,332.179140625
hevc_5_150_5,860.1144791666666,570.56859375,1032.29921875,725.1467447916666,619.152578125,644.530703125
hevc_5_156_2,1517.152239583333,2108.289296875,2259.416197916667,2248.526171875,1641.92265625,1809.458515625
hevc_5_163_26,1347.022135416667,2288.629791666667,2425.52390625,2175.537369791667,2287.844088541667,2326.083046875
hevc_5_190_2,1363.416588541667,2166.583098958333,2291.93484375,2270.439140625,2251.699973958333,2238.636640625
hevc_5_193_4,2367.705885416667,1303.966276041667,1625.95984375,1673.301875,1904.374739583333,2119.120963541667
hevc_5_203_3,1714.507890625,1827.160052083334,1304.599921875,1255.311197916667,844.7029947916667,1161.4284375
hevc_5_211_7,2513.551588541667,2472.544557291666,2711.340234375,2670.828125,2577.701666666667,2697.24453125
hevc_5_224_4,2546.996484375,2600.0565625,2465.029765625,2625.33640625,2642.019166666666,2457.311197916667
hevc_5_232_8,306.5725260416666,651.7755468749999,835.0697395833333,1054.160625,1197.789505208333,805.051796875
